id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
634705,4,4-6 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$13,Avengers,coke,Friends,A moderate amount (medium),Shawarma
630070,3,5+,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$13,The Dictator,Water.,Friends,None,Shawarma
630006,4,9,"Week day lunch,Weekend lunch",11,Drishyam,coffee,Strangers,None,Shawarma
629072,2,15-Oct,"Week day lunch,Late night snack",$10,The Avengers,Coke,Friends,A lot (hot),Shawarma
630044,3,8,"Week day lunch,Week day dinner,Weekend lunch",$7,Mission Impossible,Orange Juice,Siblings,A lot (hot),Shawarma
626026,5,It can vary depending on what is needed inside the shawarma. From as little as 2-3 to much more like 6. ,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8$-12$,The Avengers. Action movies.,"Sprite or any soft drinks as such. Coke, Pepsi, etc.","Parents,Siblings",A lot (hot),Shawarma
520303,4,10+,"Week day lunch,Late night snack",$12,Us,Coca cola,"Parents,Siblings",A moderate amount (medium),Shawarma
630972,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8,The Avengers,Pepsi,Friends,A little (mild),Shawarma
522477,5,4,"Week day dinner,Weekend dinner",20,tokyo drift,pepsi,"Parents,Friends",None,Sushi
523461,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",25,Billions - TV Show,Sake,"Parents,Siblings,Friends",None,Sushi
312640,2,4,"Week day lunch,Week day dinner,Weekend dinner",10,Rush Hour,Water,Parents,None,Sushi
854745,4,It could contain anywhere between 2 to 8 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",One serving of sushi would be $16,Madagascar 2,straight soy sauce by the gallon,"Parents,Friends",A moderate amount (medium),Sushi
711854,4,5,"Week day dinner,Weekend dinner",around 17 dollars,Weathering with You,tea,"Parents,Siblings",None,Sushi
739254,3,05-Apr,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10,The Fast and the Furious: Tokyo Drift,Water,Friends,A little (mild),Sushi
621555,3,03-Feb,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10-25 Canadian dollars,None,Hot Tea,"Parents,Friends",None,Sushi
602482,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,Godzilla,Bubble Tea,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Sushi
630416,3,3 to 8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 to $25,Nothing,tea,"Parents,Siblings,Friends,Strangers",None,Sushi
505458,3,5,"Week day lunch,Weekend lunch,At a party",15,No movie,Water,"Friends,Teachers",A lot (hot),Sushi
