id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
521125,5,8,"Week day lunch,Weekend lunch",$9.00,The Avengers,Root beer,"Siblings,Friends",None,Shawarma
603398,5,10-Jul,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",15 - 25 CAD,Suits,"I wouldn't pair a drink with sushi

Water probably",Friends,A little (mild),Sushi
631012,5,9,At a party,13,Kung Fu Panda,Water,Strangers,None,Sushi
601848,2,5,"Week day lunch,Weekend lunch,Weekend dinner",$13,John Wick 4,Green tea,"Parents,Siblings,Friends",None,Sushi
612131,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8,The Wolverine,Green tea / ocha,"Parents,Siblings,Friends",A little (mild),Sushi
408630,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",3 dollars,Finding Nemo,tea,"Parents,Friends",None,Sushi
712766,3,Around 3-6 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 8-15 dollars for one serving,Wolverine,Tea,"Siblings,Friends",None,Sushi
603664,1,2,Week day dinner,9,Jiro Dreams of Sushi,Calpis,Parents,None,Sushi
840827,5,4,Weekend dinner,$20,Romance movie,Water,"Parents,Friends",None,Sushi
604897,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",35,Food wars,Tea,"Parents,Siblings,Friends",None,Sushi
525422,3,4,"Week day lunch,Weekend lunch,Weekend dinner,At a party",15,None,Water,"Parents,Siblings,Friends",A moderate amount (medium),Sushi
313562,1,8,"Weekend dinner,At a party,Late night snack",$2,fast and furious ,crush ,"Siblings,Friends",A moderate amount (medium),Pizza
712670,2,"I would expect it to have 3 ingredients:
1. Dough
2. Tomato Sauce
3. Mozzarella","Weekend dinner,At a party,Late night snack",I would pay about 4 Canadian dollars a slice.,I think about the movie Ratatouille as it took place in Italy and Pizza reminds me of Italy.,I would pair it with a bottled Coca-Cola for the authentic western junk food combo.,Friends,A little (mild),Pizza
635627,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4,Rush Hour,Coke,"Friends,Teachers",None,Pizza
524485,4,10,"Week day lunch,Weekend lunch,At a party",7.5,Teenage Mutant Ninja Turtles,Coke,Friends,None,Pizza
632320,3,"Tomato, Beef, Onion","Week day lunch,At a party",It's about 16 for a whole pizza.,Teenage Mutant Ninja Turtles,coke,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
628093,4,"I would expect it to contain 5 ingredients.

Dough, cheese, tomato sauce, some kind of meat, and some kind of vegetable.","Weekend lunch,At a party",$20 to $25.,Five Nights at Freddy's.,Nestea.,"Parents,Friends",None,Pizza
411781,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7,Spider-Man 2,Coke Zero,"Parents,Siblings,Friends",None,Pizza
525567,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Ratatouille,Water,"Friends,Strangers",A little (mild),Pizza
508149,3,5,"Weekend dinner,At a party,Late night snack",19,Ratatouille,Water,"Siblings,Friends",A moderate amount (medium),Pizza
524992,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4, the avengers ,coca cola,"Friends,Teachers",I will have some of this food item with my hot sauce,Pizza
631198,2,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,The Avengers,water,"Friends,Strangers",I will have some of this food item with my hot sauce,Shawarma
606150,3,Seven.,"Week day lunch,Weekend lunch",12 CAD.,Deadpool & Wolverine.,Coca Cola.,Friends,A little (mild),Shawarma
313577,4,4-6 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$13,Avengers,coke,Friends,A moderate amount (medium),Shawarma
629700,3,5+,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$13,The Dictator,Water.,Friends,None,Shawarma
630928,4,9,"Week day lunch,Weekend lunch",11,Drishyam,coffee,Strangers,None,Shawarma
607286,2,15-Oct,"Week day lunch,Late night snack",$10,The Avengers,Coke,Friends,A lot (hot),Shawarma
507448,3,potato,"Week day lunch,Weekend lunch",10,The Avengers,Coke,Strangers,A moderate amount (medium),Shawarma
522890,5,It can vary depending on what is needed inside the shawarma. From as little as 2-3 to much more like 6. ,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8$-12$,The Avengers. Action movies.,"Sprite or any soft drinks as such. Coke, Pepsi, etc.","Parents,Siblings",A lot (hot),Shawarma
723931,3,10,"Week day lunch,Weekend lunch",15 dollars,indiana jones,coke,Friends,A little (mild),Shawarma
526497,3,10,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$15.00,The Avengers ,Ginger Ale,"Parents,Siblings,Friends",A lot (hot),Shawarma
522205,5,3+,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$15,Cars,Green Tea,"Parents,Siblings,Friends",None,Sushi
5978,4,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12 dollars,Jiro Dreams of Sushi,Water,"Siblings,Friends",None,Sushi
742611,3,"1. Seaweed

2. Rice

Many other possibilities of the main ingrediant:

3. Carrot / Yellow Radish / Cucumber / Avogado

4. Meat (Tuna, Salmon)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","Really depends on the main ingredient, usually $5-$15 for a roll.","Japanese movies, food documentaries.","stereotypically nihonshu, but maybe tea and water too.","Parents,Siblings,Friends",None,Sushi
716142,5,"5 - Avacoda, cucumber, rice, fish, seaweed",Week day lunch,$10,Kill Bill,Green Tea,"Parents,Siblings",A lot (hot),Sushi
525853,2,2 to 4 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5 to 20 dollars,Finding Nemo,Water,"Friends,Strangers",None,Sushi
835124,5,4,"Week day lunch,Weekend lunch,Weekend dinner",$10,Pokemon,Green Tea,"Parents,Friends",None,Sushi
634764,4,5,"Week day lunch,Late night snack",$15,9,Water,Friends,A little (mild),Sushi
385307,2,2 to 3,"Week day lunch,Weekend dinner,At a party",15,John Wick ,soup ,Parents,None,Sushi
634566,5,5,"Week day dinner,Weekend dinner",20,Shanghai Noon,Sake ,"Parents,Friends",A moderate amount (medium),Sushi
387820,4,dried sea crunchies,Weekend lunch,25CAD,Who am I (2005?),coca cola,"Siblings,Friends",A moderate amount (medium),Sushi
